"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0
0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0,0,0,0,0,0
0.25,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0
0,0,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0
0,0,0,0.2,0.2,0,0,0,0.2,0,0.2,0.2,0,0,0,0
0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0,0
0,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0.166666666666667,0.166666666666667,0,0,0
0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0
0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0.25,0
0,0,0,0,0,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.166666666666667
0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667
0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333
0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333
0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0
